운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326)
사용중,영등포구청별관 지하1층,공공용시설,"서울특별시 영등포구 선유동1로 80, 영등포구 별관청사 (당산동3가)",서울특별시 영등포구 당산동3가 560 영등포구 별관청사,지하,737.84,894,37.52889118,126.8941027
사용중,대림역 7호선 지하1층,공공용시설,"서울특별시 영등포구 도림로 지하137, 대림역 (대림동)",서울특별시 영등포구 대림동 1050-17 대림역,지하,3157,3826,37.49318496,126.8972519
사용중,순영웰라이빌 지하1층 주차장,공공용시설,"서울특별시 영등포구 영등포로62길 42(영등포동, 순영웰라이빌)",서울특별시 영등포구 영등포동 648 순영웰라이빌,지하,5404,6550,37.51635996,126.9132818
사용중,대우이안아파트(지하주차장 1층),공공용시설,"서울특별시 영등포구 선유로33길 18(양평동3가, 양평동 대우이안2)",서울특별시 영등포구 양평동3가 54 양평동 대우이안2,지하,2602.06,3154,37.52688577,126.8891158
사용중,신동아하이팰리스(지하주차장 1층),공공용시설,"서울특별시 영등포구 선유서로 67, 신동아하이팰리스 (양평동2가)",서울특별시 영등포구 양평동2가 1-1 신동아하이팰리스,지하,7484.29,9071,37.52180984,126.8852107
사용중,래미안에스티움 지하1층,공공용시설,"서울특별시 영등포구 신풍로 77(신길동, 래미안에스티움)",서울특별시 영등포구 신길동 4950 래미안에스티움,지하,87849.09,106483,37.50028453,126.9140117
사용중,쌍용플래티넘시티1단지 지하1~2층,공공용시설,"서울특별시 영등포구 도영로7길 15(도림동, 쌍용플래티넘시티1단지)",서울특별시 영등포구 도림동 820 쌍용플래티넘시티1단지,지하,9770.77,11843,37.50988705,126.8952948
사용중,영등포제1스포츠센터(지하 1층),공공용시설,"서울특별시 영등포구 신풍로 1, 영등포제1스포츠센터 (신길동)",서울특별시 영등포구 신길동 426-3 영등포제1스포츠센터,지하,1702,2063,37.50037461,126.9062681
사용중,브라운스톤 아파트 지하 1층 주차장,공공용시설,"서울특별시 영등포구 버드나루로12가길 13(영등포동7가, 브라운스톤 영등포아파트)",서울특별시 영등포구 영등포동7가 202 브라운스톤 영등포아파트,지하,2831.87,3432,37.5243052,126.9113212
사용중,영등포아트자이아파트 지하1~3층,공공용시설,"서울특별시 영등포구 도영로 66(도림동, 영등포아트자이아파트)",서울특별시 영등포구 도림동 821 영등포아트자이아파트,지하,42778.83,51853,37.51115696,126.8993874
사용중,신풍두산위브센티움(지하 1~3층),공공용시설,"서울특별시 영등포구 대방천로 155(신길동, 신풍두산위브센티움)",서울특별시 영등포구 신길동 425-8 신풍두산위브센티움,지하,2172,2632,37.49951066,126.908208
